DATA;EVENTO
01/08/2019;0
02/08/2019;0
03/08/2019;0
04/08/2019;0
05/08/2019;0
06/08/2019;0
07/08/2019;0
08/08/2019;0
09/08/2019;0
10/08/2019;0
11/08/2019;0
12/08/2019;0
13/08/2019;0
14/08/2019;0
15/08/2019;0
16/08/2019;0
17/08/2019;1
18/08/2019;1
19/08/2019;1
20/08/2019;0
21/08/2019;0
22/08/2019;0
23/08/2019;0
24/08/2019;0
25/08/2019;0
26/08/2019;0
27/08/2019;0
28/08/2019;0
29/08/2019;0
30/08/2019;1
31/08/2019;1
01/09/2019;1
02/09/2019;1
03/09/2019;1
04/09/2019;1
05/09/2019;1
06/09/2019;1
07/09/2019;1
08/09/2019;1
09/09/2019;1
10/09/2019;1
11/09/2019;1
12/09/2019;1
13/09/2019;1
14/09/2019;1
15/09/2019;1
16/09/2019;0
17/09/2019;0
18/09/2019;0
19/09/2019;0
20/09/2019;0
21/09/2019;0
22/09/2019;0
23/09/2019;0
24/09/2019;0
25/09/2019;0
26/09/2019;0
27/09/2019;0
28/09/2019;0
29/09/2019;0
30/09/2019;0
